time_s,imu_id,qw,qx,qy,qz,gyro_x_dps,gyro_y_dps,gyro_z_dps,acc_x_ms2,acc_y_ms2,acc_z_ms2,mag_x_uT,mag_y_uT,mag_z_uT
1.04,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.307547026935418,0.0950179499468401,-0.0340911695857263,0.09,-0.05,-0.1,-49.5625,-161.375,2.0625
1.056,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0603616880989761,0.109508944488241,0.00106738041988057,0.09,-0.02,-0.08,-49.5625,-161.375,2.0625
1.072,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.031270648866217,0.194214397956019,-0.00517644022609868,0.1,-0.05,-0.08,-49.5625,-161.375,2.0625
1.088,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.219184104420411,0.019638484744596,0.0210698380838275,0.09,-0.03,-0.1,-49.5625,-162.0625,2.25
1.104,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0,-0,0,0.09,-0.05,-0.08,-49.5625,-162.0625,2.25
1.12,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0243427308514326,-0.0847098324859459,0.00616130192002633,0.09,-0.03,-0.08,-49.25,-161.6875,2.5625
1.136,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0989493440943886,-0.0248122490567978,-0.00747623851776565,0.11,-0.04,-0.09,-49.25,-161.6875,2.5625
1.152,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.113795458183168,-0.0599063414654835,0.0134725029858861,0.09,-0.03,-0.07,-49.25,-161.6875,2.5625
1.168,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0058381131980555,0.139464304730066,-0.00562761171008604,0.07,-0.04,-0.08,-48.875,-162.0625,1.5
1.184,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.113795458183168,-0.0599063414654835,0.0134725029858861,0.08,-0.04,-0.09,-48.875,-162.0625,1.5
1.2,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.094201035713062,-0.0248078700386301,-0.00739371979181273,0.08,-0.05,-0.1,-48.875,-162.0625,1.5
1.216,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0508650713363229,0.109500186451905,0.000902342967974727,0.09,-0.05,-0.07,-50,-161.6875,0.875
1.232,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.00474830838132663,4.37901816770463e-06,8.25187259529199e-05,0.09,-0.05,-0.07,-50,-161.6875,0.875
1.248,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0984607282224592,-0.199379404231885,0.0189350772440663,0.09,-0.04,-0.09,-50,-161.6875,0.875
1.264,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0243427308514326,-0.0847098324859459,0.00616130192002633,0.08,-0.04,-0.08,-49.25,-161.375,2.1875
1.28,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.145066107049385,0.134308056490535,0.00829606275978746,0.09,-0.05,-0.09,-49.25,-161.375,2.1875
1.296,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.114885262999897,-0.0795535842464149,-0.00776237254984718,0.09,-0.06,-0.1,-49.5625,-161.6875,2.1875
1.312,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.175246951098873,-0.189062528734655,-0.00882975296972774,0.09,-0.06,-0.09,-49.5625,-161.6875,2.1875
1.328,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.00474830838132663,-4.37901816770463e-06,-8.25187259529199e-05,0.09,-0.05,-0.1,-49.5625,-161.6875,2.1875
1.344,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.258861565232553,-0.0744017150250516,-0.0217685657456736,0.1,-0.05,-0.08,-50,-162.5,2.1875
1.36,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.00474830838132663,-4.37901816770463e-06,-8.25187259529199e-05,0.09,-0.05,-0.1,-50,-162.5,2.1875
1.376,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0290910392327592,0.0847054534677782,-0.00624382064597925,0.08,-0.05,-0.07,-50,-162.5,2.1875
1.392,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.00474830838132663,-4.37901816770463e-06,-8.25187259529199e-05,0.08,-0.04,-0.06,-50,-162.5,1.6875
1.408,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.011676226396111,0.278928609460132,-0.0112552234201721,0.09,-0.06,-0.1,-49.5625,-162.5,1.6875
1.424,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0556133797176495,0.109504565470073,0.000984861693927647,0.09,-0.05,-0.08,-49.5625,-162.5,1.6875
1.44,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.229770525999794,0.15910716849283,0.0155247450996944,0.08,-0.06,-0.08,-49.5625,-162.0625,2.5625
1.456,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.113795458183168,0.0599063414654835,-0.0134725029858861,0.09,-0.05,-0.08,-49.5625,-162.0625,2.5625
1.472,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0195944224701059,-0.0847142115041136,0.00607878319407341,0.09,-0.03,-0.07,-49.5625,-161.6875,1.375
1.488,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.114885262999897,-0.0795535842464149,-0.00776237254984718,0.09,-0.06,-0.09,-49.5625,-161.6875,1.375
1.504,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0301808440494881,0.0547544722441203,0.000533690209940283,0.09,-0.04,-0.08,-49.5625,-161.6875,1.375
1.52,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.119633571381223,0.0795579632645826,0.0078448912758001,0.1,-0.05,-0.07,-49.5625,-162.5,3
1.536,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.174157146282144,-0.049602603022757,-0.0145398834057667,0.09,-0.04,-0.1,-49.25,-162.5,3
1.552,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.169408837900817,0.0495982240045893,0.0144573646798138,0.09,-0.06,-0.11,-49.25,-162.5,3
1.568,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0105864215793821,0.139468683748234,-0.00554509298413313,0.1,-0.02,-0.07,-49.25,-161.6875,1.0625
1.584,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0804447264410115,0.24898638627281,-0.00431267511234672,0.09,-0.06,-0.07,-49.25,-161.6875,1.0625
1.6,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0847044189504087,0.0247991120022946,0.00722868233990689,0.09,-0.03,-0.06,-49.25,-161.6875,1.0625
1.616,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0741179973710266,0.114669571745939,-0.01277377532404,0.09,-0.04,-0.07,-49.25,-162.0625,1.875
1.632,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.125471684579279,0.219022267994649,0.00221727956571405,0.09,-0.04,-0.1,-49.5625,-162.0625,1.875
1.648,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.134479685470003,-0.00516062725769867,0.0138411557439206,0.07,-0.03,-0.09,-49.5625,-161.6875,2.375
1.664,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0545235749009206,-0.0299553602418256,0.00669499212996661,0.09,-0.05,-0.1,-48.875,-161.6875,2.375
1.68,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.175246951098873,0.189062528734655,0.00882975296972774,0.09,-0.04,-0.08,-48.875,-161.6875,2.375
1.696,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.175246951098873,0.189062528734655,0.00882975296972774,0.07,-0.04,-0.08,-48.875,-161.6875,1.6875
1.712,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0952908405297909,0.164267795750528,0.00168358935577377,0.08,-0.03,-0.1,-50.75,-161.6875,1.6875
1.728,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0254325356681614,0.0547500932259526,0.000451171483987363,0.08,-0.04,-0.08,-50.75,-161.6875,1.6875
1.744,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0756964180596849,0.248982007254642,-0.00439519383829964,0.09,-0.03,-0.08,-50.75,-161.6875,1.5
1.76,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0556133797176495,0.109504565470073,0.000984861693927647,0.09,-0.06,-0.09,-49.25,-161.6875,1.5
1.776,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.113795458183168,0.0599063414654835,-0.0134725029858861,0.1,-0.04,-0.09,-49.25,-161.6875,1.5
1.792,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0486854617028651,-0.169419664971892,0.0123226038400527,0.09,-0.05,-0.09,-49,-162.0625,2.5625
1.808,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.120723376197952,0.219017888976481,0.00213476083976113,0.07,-0.04,-0.1,-49,-162.0625,2.5625
1.824,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.0741179973710266,-0.114669571745939,0.01277377532404,0.09,-0.04,-0.09,-49,-162.0625,2.5625
1.84,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0450269581382674,0.029964118278161,-0.00652995467806077,0.08,-0.05,-0.09,-49.5625,-161.6875,1.5
1.856,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.11013695461857,-0.0795492052282472,-0.00767985382389426,0.09,-0.05,-0.09,-49.5625,-161.6875,1.5
1.872,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0545235749009206,0.0299553602418256,-0.00669499212996661,0.07,-0.04,-0.06,-49.5625,-161.6875,2
1.888,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0592718832822473,0.0299509812236579,-0.00677751085591953,0.1,-0.05,-0.1,-50.375,-162.0625,2
1.904,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0651099964803028,-0.109513323506408,-0.00114989914583349,0.09,-0.04,-0.09,-50.375,-162.0625,2
1.92,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.319223253331529,-0.183910659513292,-0.0228359461655542,0.09,-0.06,-0.09,-50.375,-162.0625,1.5625
1.936,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.0952908405297909,-0.164267795750528,-0.00168358935577377,0.09,-0.02,-0.08,-50,-162.5,1.5625
1.952,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.114885262999897,-0.0795535842464149,-0.00776237254984718,0.09,-0.05,-0.08,-50,-162.5,1.5625
1.968,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.139227993851329,0.00515624823953097,-0.0139236744698735,0.11,-0.04,-0.09,-49.5625,-162.875,2.6875
1.984,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.114885262999897,-0.0795535842464149,-0.00776237254984718,0.07,-0.03,-0.08,-49.5625,-162.875,2.6875
2,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,0.190093065187652,-0.104343938212374,-0.0148260174378482,0.1,-0.04,-0.09,-49.5625,-162.875,2.1875
2.016,node3,-0.1873779296875,-0.65338134765625,-0.16455078125,0.71478271484375,-0.154562723812038,0.134316814526871,0.0084611002116933,0.09,-0.04,-0.11,-49.5625,-162.0625,2.1875
